town,flat_type,floor_area_sqm,flat_model,lease_commence_date,resale_price
SENGKANG,4 ROOM,95,Premium Apartment,2012,468888
TOA PAYOH,4 ROOM,104,Model A,1989,525000
JURONG WEST,4 ROOM,91,Model A,2001,390000
JURONG WEST,4 ROOM,102,Model A,1997,485500
YISHUN,3 ROOM,74,Model A,1983,322000
CLEMENTI,3 ROOM,82,New Generation,1978,453888
BUKIT BATOK,3 ROOM,60,Improved,1988,263000
TAMPINES,4 ROOM,105,Model A,1985,420000
WOODLANDS,3 ROOM,73,New Generation,1980,315000
BUKIT MERAH,3 ROOM,53,Standard,1969,308000
TAMPINES,4 ROOM,104,Model A,1985,465000
TOA PAYOH,5 ROOM,120,Improved,1998,688000
TOA PAYOH,3 ROOM,57,Standard,1968,308000
TOA PAYOH,3 ROOM,61,Standard,1973,315000
TAMPINES,4 ROOM,104,Model A,1988,510000
CHOA CHU KANG,5 ROOM,116,Improved,1999,358888
PUNGGOL,5 ROOM,114,Premium Apartment,2004,488000
ANG MO KIO,5 ROOM,120,DBSS,2011,980000
PUNGGOL,4 ROOM,90,Model A,2003,492000
BEDOK,4 ROOM,84,Improved,1977,325888
SERANGOON,3 ROOM,60,Improved,1985,335000
QUEENSTOWN,3 ROOM,69,Model A,2012,410000
TAMPINES,5 ROOM,122,Improved,1988,580000
JURONG WEST,EXECUTIVE,130,Apartment,2000,622000
WOODLANDS,3 ROOM,60,Improved,1985,265000
YISHUN,5 ROOM,133,Improved,1986,490000
QUEENSTOWN,4 ROOM,84,Improved,1974,490000
MARINE PARADE,3 ROOM,70,Improved,1975,465000
YISHUN,5 ROOM,122,Improved,1987,385000
PASIR RIS,5 ROOM,126,Improved,1995,480000
TAMPINES,5 ROOM,109,DBSS,2008,680000
TAMPINES,3 ROOM,75,Model A,1983,380000
TAMPINES,5 ROOM,121,Improved,1985,540000
BUKIT MERAH,5 ROOM,120,Improved,1996,798000
HOUGANG,4 ROOM,84,Simplified,1987,430000
BEDOK,4 ROOM,95,New Generation,1981,365000
BEDOK,3 ROOM,68,New Generation,1979,358000
JURONG WEST,EXECUTIVE,139,Apartment,1997,618800
BUKIT PANJANG,5 ROOM,121,Improved,1999,540000
YISHUN,EXECUTIVE,146,Maisonette,1987,600000
BUKIT BATOK,5 ROOM,119,Improved,1997,625000
PUNGGOL,4 ROOM,90,Model A,2003,353000
BUKIT BATOK,4 ROOM,103,Model A,1998,470000
PUNGGOL,4 ROOM,94,Model A,2012,420000
YISHUN,4 ROOM,84,Simplified,1985,326000
BEDOK,3 ROOM,68,New Generation,1980,320000
ANG MO KIO,4 ROOM,98,New Generation,1979,457000
JURONG WEST,3 ROOM,65,Improved,1977,335000
BUKIT BATOK,3 ROOM,73,Model A,1986,293000
BUKIT PANJANG,4 ROOM,93,Premium Apartment,2004,435000
CLEMENTI,3 ROOM,68,New Generation,1980,283000
PASIR RIS,5 ROOM,128,Improved,1996,437000
YISHUN,3 ROOM,64,Simplified,1987,272000
JURONG WEST,5 ROOM,128,Improved,1996,485000
PUNGGOL,4 ROOM,93,Model A,2012,452000
BISHAN,4 ROOM,112,Model A,1992,480000
BEDOK,EXECUTIVE,147,Maisonette,1984,640000
PUNGGOL,5 ROOM,110,Improved,2003,430000
BISHAN,5 ROOM,121,Improved,1987,725000
SENGKANG,4 ROOM,96,Premium Apartment,2012,445000
BUKIT PANJANG,EXECUTIVE,130,Apartment,2001,600000
SERANGOON,3 ROOM,73,Improved,1983,400000
CHOA CHU KANG,4 ROOM,104,Model A,1989,360000
